customer_id,first_name,last_name,email,phone_number,date_of_birth,address,state,country,join_date
1,  Janaki  ,Handa,janaki.handa1@hotmail.com,0341316475,1981-11-05,"19/283, Shere Street, Gopalpur-503056",Kerala,India,2025-07-09
2,Siddharth,Murty,siddharth.murty2@gmail.com,6724238849,1980-11-17,"871, Choudhary Nagar, Kozhikode 916697",Tamil Nadu,India,2023-08-04
3,Advay,Contractor,advay.contractor3@hotmail.com,5146270482,1990-10-24,"H.No. 28, Acharya Circle, Unnao-154303",Odisha,India,2025-07-05
4,Farhan,Chada,farhan.chada4@hotmail.com,1822782489,2004-01-26,"57, Seth Circle, Shahjahanpur-150983",Telangana,India,2026-08-11
5,Abhimanyu,Bobal,abhimanyu.bobal5@hotmail.com,3105183473,1993-01-24,"63, Chatterjee Zila, Raichur-670106",Odisha,India,2025-10-03
6,Ikbal,Kothari,ikbal.kothari6@gmail.com,8726247317,1998-05-18,"267, Kala Chowk, Allahabad 606474",Uttar Pradesh,India,2025-10-31
7,Vidhi,Dubey,vidhi.dubey7@gmail.com,3098050097,1986-10-12,"191, Raval Ganj, Jehanabad 990916",Odisha,India,2026-02-14
8,Diya,Lal,diya.lal8@gmail.com,3462475107,1995-09-08,"42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808",Madhya Pradesh,India,2024-08-25
9,Hemang,Desai,hemang.desai9@yahoo.com,1824493534,1982-01-30,"64/005, Lala Street, Mango 801128",Gujarat,India,2024-09-10
10,Kala,Divan,kala.divan10@yahoo.com,0450533158,1972-01-28,"602, Sabharwal Path, Shimoga-160733",Kerala,India,2025-07-01
11,Triveni,Palla,triveni.palla11@yahoo.com,3036541458,2001-09-26,"H.No. 29, Barad Road, Kavali 556981",Telangana,India,2024-11-01
12,Ranveer,Kumar,ranveer.kumar12@gmail.com,0883561595,1985-05-05,"H.No. 64, Datta Circle, Bidar 299468",Karnataka,India,2025-09-22
13,Daksha,Mangat,daksha.mangat13@gmail.com,9957773872,2002-05-22,"433, Bakshi Street, Sambalpur 917693",Uttar Pradesh,India,2024-07-27
14,Leena,Talwar,leena.talwar14@yahoo.com,2016328708,1998-01-01,"88/957, Thaman, Motihari-277434",Odisha,India,2025-11-27
15,Vedhika,Khare,vedhika.khare15@yahoo.com,1434558122,1999-10-22,"65, Shukla Circle, Ghaziabad-669096",Madhya Pradesh,India,2026-02-17
16,Indira,Misra,indira.misra16@yahoo.com,8893734670,1988-10-30,"980, Bala Marg, Haldia-720465",Haryana,India,2025-06-06
17,Eta,Nazareth,eta.nazareth17@yahoo.com,6417080531,1978-09-30,"23/27, Kamdar Zila, Bardhaman-299124",Kerala,India,2025-09-29
18,Atharv,Muni,atharv.muni18@hotmail.com,6319314919,1974-10-24,"H.No. 850, Suri Marg, Bhiwani-726284",Telangana,India,2024-08-20
19,Veda,Shroff,veda.shroff19@yahoo.com,5314737996,1994-02-09,"35, Oak Road, Kavali 808313",Gujarat,India,2024-04-08
20,Vrinda,Khosla,vrinda.khosla20@hotmail.com,,1998-01-25,"85/574, Krishnamurthy Road, Jamshedpur 518233",Punjab,India,2024-09-04
21,Aradhana,Vohra,aradhana.vohra21@hotmail.com,1343524082,1998-10-09,"71/094, Srinivas Chowk, Mau 047116",Haryana,India,2026-04-10
22,Chatresh,Doshi,chatresh.doshi22@gmail.com,1318699938,1989-05-23,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",West Bengal,India,2024/01/08
23,Nilima,Seshadri,nilima.seshadri23@hotmail.com,4034471349,1976-08-26,"H.No. 21, Gandhi Nagar, Hindupur-717464",West Bengal,India,2024-01-28
24,Wakeeta,Sarma,wakeeta.sarma24@gmail.com,6594013990,1989-09-21,"74/29, Swamy Marg, Nandyal-655125",Maharashtra,India,2025-09-09
