order_id,customer_id,promotion_id,order_date,order_status,shipping_address,billing_address,discount_amount,shipping_charge,order_total_amount
1,1,84.0,2026-06-07,Delivered,"19/283, Shere Street, Gopalpur-503056","19/283, Shere Street, Gopalpur-503056",650.69,0.0,1437.53
2,2,,2023-08-13,Delivered,"871, Choudhary Nagar, Kozhikode 916697","871, Choudhary Nagar, Kozhikode 916697",0.0,0.0,1338.76
3,2,,2023-12-14,Cancelled,"871, Choudhary Nagar, Kozhikode 916697","871, Choudhary Nagar, Kozhikode 916697",0.0,51.9,438.1
4,2,10.0,2024-01-02,Delivered,"871, Choudhary Nagar, Kozhikode 916697","871, Choudhary Nagar, Kozhikode 916697",460.29,0.0,3400.72
5,2,10.0,2024-01-03,Cancelled,"871, Choudhary Nagar, Kozhikode 916697","871, Choudhary Nagar, Kozhikode 916697",327.62,0.0,2434.81
6,2,,2024-08-22,Delivered,"871, Choudhary Nagar, Kozhikode 916697","871, Choudhary Nagar, Kozhikode 916697",0.0,0.0,4754.24
7,2,,12/10/2024,Delivered,"871, Choudhary Nagar, Kozhikode 916697","871, Choudhary Nagar, Kozhikode 916697",0.0,62.33,326.42
8,2,,2024-12-22,Delivered,"871, Choudhary Nagar, Kozhikode 916697","871, Choudhary Nagar, Kozhikode 916697",0.0,56.97,418.32
9,2,80.0,2025-04-14,Delivered,"871, Choudhary Nagar, Kozhikode 916697","871, Choudhary Nagar, Kozhikode 916697",273.8,0.0,1147.08
10,3,,2025-07-12,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,0.0,2743.56
11,3,,2025-10-10,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,0.0,1108.9
12,3,,2025-11-07,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,40.84,569.02
13,3,,2026-01-22,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,0.0,2761.79
14,3,,2026-02-10,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,49.26,324.39
15,3,,2026-03-13,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,0.0,5160.59
16,3,30.0,2026-03-15,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",360.12,0.0,1332.18
17,3,,2026-03-19,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,0.0,8230.68
18,3,,2026-03-21,DELIVERED,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,0.0,4513.54
19,3,,2026-05-25,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,93.63,488.23
20,3,,2026-06-09,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,0.0,2910.01
